Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z
0.4851,-0.0678,0.5470,3.2900,167.1600,4.9700
0.4831,-0.0878,0.5651,4.9000,191.6600,2.7300
0.4826,-0.0908,0.5719,-1.6100,210.7000,3.5000
0.4558,-0.1025,0.6242,-4.4800,233.0300,6.4400
0.4050,-0.1186,0.7022,-13.0900,248.2200,10.7800
0.3118,-0.0878,0.7793,-28.0700,263.9700,11.7600
0.2752,-0.0883,0.8579,-24.9200,270.6900,14.9100
0.2450,-0.0444,0.8784,-9.7300,273.7700,20.0200
0.2411,-0.1132,1.0028,-3.2200,274.1200,20.1600
0.1932,-0.2206,1.1058,-7.0700,271.5300,14.1400
0.1508,-0.1357,1.1063,-24.0100,265.8600,11.7600
0.1503,-0.0917,1.0516,-48.0200,263.2700,14.4200
0.0791,-0.1279,0.9550,-66.7100,264.2500,14.5600
0.0483,-0.1688,0.8921,-83.5100,266.2800,15.4700
0.0093,-0.1898,0.8135,-80.0100,265.0900,20.5100
-0.0610,-0.2264,0.8891,-61.8800,257.2500,27.0900
-0.2001,-0.2728,0.8701,-29.6100,241.2900,27.3700
-0.2440,-0.2391,1.0004,-12.4600,226.6600,27.5800
-0.3645,-0.2015,1.0429,-6.7200,209.4400,24.2900
-0.4441,-0.2123,1.0795,6.8600,202.5800,18.9000
-0.3855,-0.1796,1.0858,2.0300,190.6800,13.3000
-0.4016,-0.1537,1.0951,-6.2300,184.8700,9.0300
-0.4294,-0.1366,1.0038,-19.4600,180.0400,6.7900
-0.4138,-0.1879,0.9428,-18.7600,177.8000,4.9000
-0.4407,-0.1645,0.9301,-11.2000,173.2500,6.3000
-0.5012,-0.1425,0.9653,-3.9200,162.6100,7.3500
-0.5651,-0.1815,1.0024,18.1300,150.8500,6.0200
-0.5978,-0.1581,1.0077,25.2700,133.3500,4.5500
-0.6329,-0.1444,0.9838,24.0100,119.4200,1.6800
-0.6222,-0.1967,0.9233,22.4700,104.4400,-1.9600
-0.6100,-0.1796,0.9209,16.5200,95.1300,-5.4600
-0.6246,-0.1303,0.9736,10.2900,82.5300,-5.8100
-0.6446,-0.1322,0.9370,4.6900,71.9600,-6.3700
-0.6178,-0.1352,0.8960,5.4600,56.8400,-6.5800
-0.6393,-0.1293,0.8711,7.2100,43.0500,-5.3900
-0.6129,-0.1718,0.8330,7.1400,23.6600,-5.6700
-0.6095,-0.1464,0.8652,9.9400,6.7900,-4.6900
-0.6066,-0.1391,0.8764,8.6100,-15.7500,-3.8500
-0.6207,-0.1420,0.9043,6.4400,-34.1600,-4.7600
-0.6344,-0.1508,0.9301,2.2400,-56.5600,-6.8600
-0.6412,-0.1396,0.9667,-4.8300,-78.9600,-7.7000
-0.6276,-0.1279,1.0165,-6.3700,-97.5100,-6.0900
-0.6471,-0.1454,1.0468,-2.2400,-120.4000,-5.6000
-0.6198,-0.1918,1.0121,2.1700,-134.5400,-6.5800
-0.5778,-0.1937,1.0072,4.8300,-148.5400,-6.7900
-0.5485,-0.1859,0.9999,8.0500,-157.6400,-7.0700
-0.4865,-0.2328,0.9970,19.6000,-169.3300,-6.7900
-0.4734,-0.1737,1.0248,35.6300,-180.3200,-5.9500
-0.4831,-0.1469,1.1580,45.5000,-201.5300,-1.8200
-0.4631,-0.1425,1.1448,75.6000,-221.6900,4.2700
-0.4133,-0.0307,1.0146,84.9100,-241.2200,12.6000
-0.3782,-0.1747,0.8716,70.0700,-245.4900,12.8100
-0.2840,-0.2674,0.7842,63.3500,-243.6000,7.9800
-0.2269,-0.1000,0.7764,50.6800,-240.4500,9.3800
-0.2074,-0.0620,0.7842,32.2000,-234.3600,8.8200
-0.2123,-0.0976,0.9179,13.3000,-232.1200,6.6500
-0.1928,-0.0459,0.9604,32.0600,-231.9100,8.1900
-0.1762,-0.0517,1.0292,31.5000,-234.2200,7.6300
-0.0737,-0.0508,0.9770,33.3900,-233.0300,6.6500
0.0229,-0.0420,0.8716,33.0400,-226.2400,7.1400
0.0454,-0.0649,0.8047,35.9100,-219.4500,6.6500
